MaterialLibrary,BaseStrategy,MixedWith,MixedStrategy,CanonicalMixedStrategy,BaseStoppingIteration,MixedStoppingIteration,ComparisonResult,ImprovementPercentage
10374,Centroids_saturation_high,Random,Centroids_saturation_high+Random,Centroids_saturation_high+Random,100,37,Improved,63.0
10374,LHS,Random,Random+LHS,LHS+Random,100,55,Improved,45.0
10374,K-Means,Random,Random+K-Means,K-Means+Random,100,35,Improved,65.0
10374,Farthest,Random,Random+Farthest,Farthest+Random,64,55,Improved,9.0
10374,K-Center,Random,Random+K-Center,K-Center+Random,72,67,Improved,5.0
10374,ODAL,Random,Random+ODAL,ODAL+Random,59,53,Improved,6.0
10374,Centroids_saturation_medium,Random,Centroids_saturation_medium+Random,Centroids_saturation_medium+Random,100,46,Improved,54.0
10374,Centroids_saturation_low,Random,Centroids_saturation_low+Random,Centroids_saturation_low+Random,71,40,Improved,31.0
10399,K-Means,Random,Random+K-Means,K-Means+Random,53,75,Worse,-22.0
10399,Farthest,Random,Random+Farthest,Farthest+Random,76,75,Improved,1.0
10399,K-Center,Random,Random+K-Center,K-Center+Random,70,68,Improved,2.0
10399,ODAL,Random,Random+ODAL,ODAL+Random,67,65,Improved,2.0
10402,Centroids_saturation_high,Random,Centroids_saturation_high+Random,Centroids_saturation_high+Random,87,100,Worse,-13.0
10402,Centroids_saturation_medium,Random,Centroids_saturation_medium+Random,Centroids_saturation_medium+Random,100,90,Improved,10.0
10402,Centroids_saturation_low,Random,Centroids_saturation_low+Random,Centroids_saturation_low+Random,61,100,Worse,-39.0
10403,Farthest,Random,Random+Farthest,Farthest+Random,91,42,Improved,49.0
10403,K-Center,Random,Random+K-Center,K-Center+Random,79,100,Worse,-21.0
10403,ODAL,Random,Random+ODAL,ODAL+Random,45,100,Worse,-55.0
10403,Centroids_saturation_medium,Random,Centroids_saturation_medium+Random,Centroids_saturation_medium+Random,57,100,Worse,-43.0
10311,LHS,Random,Random+LHS,LHS+Random,90,100,Worse,-10.0
10311,K-Means,Random,Random+K-Means,K-Means+Random,100,95,Improved,5.0
10311,Farthest,Random,Random+Farthest,Farthest+Random,57,77,Worse,-20.0
10311,K-Center,Random,Random+K-Center,K-Center+Random,97,48,Improved,49.0
10311,ODAL,Random,Random+ODAL,ODAL+Random,30,56,Worse,-26.0
10304,Centroids_saturation_high,Random,Centroids_saturation_high+Random,Centroids_saturation_high+Random,100,65,Improved,35.0
10304,LHS,Random,Random+LHS,LHS+Random,72,73,Worse,-1.0
10304,K-Means,Random,Random+K-Means,K-Means+Random,74,75,Worse,-1.0
10304,Farthest,Random,Random+Farthest,Farthest+Random,74,76,Worse,-2.0
10304,K-Center,Random,Random+K-Center,K-Center+Random,76,73,Improved,3.0
10304,ODAL,Random,Random+ODAL,ODAL+Random,100,66,Improved,34.0
10304,Centroids_saturation_medium,Random,Centroids_saturation_medium+Random,Centroids_saturation_medium+Random,100,68,Improved,32.0
10304,Centroids_saturation_low,Random,Centroids_saturation_low+Random,Centroids_saturation_low+Random,100,73,Improved,27.0
10275,Farthest,Random,Random+Farthest,Farthest+Random,66,62,Improved,4.0
10275,K-Center,Random,Random+K-Center,K-Center+Random,73,100,Worse,-27.0
10275,ODAL,Random,Random+ODAL,ODAL+Random,78,100,Worse,-22.0
10275,Centroids_saturation_medium,Random,Centroids_saturation_medium+Random,Centroids_saturation_medium+Random,100,63,Improved,37.0
10275,Centroids_saturation_low,Random,Centroids_saturation_low+Random,Centroids_saturation_low+Random,100,94,Improved,6.0
10272,Centroids_saturation_high,Random,Centroids_saturation_high+Random,Centroids_saturation_high+Random,100,86,Improved,14.0
10272,LHS,Random,Random+LHS,LHS+Random,100,54,Improved,46.0
10272,K-Means,Random,Random+K-Means,K-Means+Random,100,51,Improved,49.0
10272,Farthest,Random,Random+Farthest,Farthest+Random,39,64,Worse,-25.0
10272,K-Center,Random,Random+K-Center,K-Center+Random,48,100,Worse,-52.0
10272,ODAL,Random,Random+ODAL,ODAL+Random,47,75,Worse,-28.0
10272,Centroids_saturation_medium,Random,Random+Centroids_saturation_medium,Centroids_saturation_medium+Random,100,68,Improved,32.0
